pub_date	title	venue	excerpt	citation	site_url	paper_url	url_slug
2025-05-13	Uniform-in-time propagation of chaos for Consensus-Based Optimization		Submitted	Nicolai Gerber, Franca Hoffmann, Dohyeon Kim, Urbain Vaes	https://arxiv.org/abs/2505.08669	https://arxiv.org/abs/2505.08669	2025_May
2025-01-21	MirrorCBO: A consensus-based optimization method in the spirit of mirror descent		Submitted	Leon Bungert, Franca Hoffmann, Doh Yeon Kim, Tim Roith	https://arxiv.org/abs/2501.12189	https://arxiv.org/abs/2501.12189	2025_Jan
2024-07-19	Mono-cluster flocking and uniform-in-time stability of the discrete Motsch-Tadmor model		Submitted	Seung-Yeal Ha, Franca Hoffmann, Dohyeon Kim, Wook Yoon	https://arxiv.org/abs/2408.10213	https://arxiv.org/abs/2408.10213	2024_July
